#pos.x,pos.y,pos.z
-4.419339599289783815e-01,6.826831021476391648e-01,6.599999999999999645e+00
-3.798738034281536891e-01,7.853681424089151708e-01,6.599999999999999645e+00
-3.117679152809980647e-01,8.841470294144583297e-01,6.599999999999999645e+00
-2.378614031393079808e-01,9.786642658394455463e-01,6.599999999999999645e+00
-1.584202506373380837e-01,1.068579691699113710e+00,6.599999999999999645e+00
-7.373036013794566357e-02,1.153569708557375506e+00,6.599999999999999645e+00
1.590347620717809385e-02,1.233328444131745583e+00,6.599999999999999645e+00
1.101586733801181855e-01,1.307568853103254547e+00,6.599999999999999645e+00
2.086960144544502960e-01,1.376023750169625526e+00,6.599999999999999645e+00
3.111608714098655359e-01,1.438446771623837384e+00,6.599999999999999645e+00
4.171844814100913457e-01,1.494613261997428610e+00,6.599999999999999645e+00
5.263852739508859679e-01,1.544321082577585047e+00,6.599999999999999645e+00
6.383702441018068718e-01,1.587391338888222814e+00,6.599999999999999645e+00
7.527363668995663559e-01,1.623669024516918746e+00,6.599999999999999645e+00
8.690720478026841000e-01,1.653023578970608698e+00,6.599999999999999645e+00
9.869586039873681216e-01,1.675349357552374352e+00,6.599999999999999645e+00
1.105971771153557048e+00,1.690566011568268801e+00,6.599999999999999645e+00
1.225683230418250114e+00,1.698618777495849219e+00,6.599999999999999645e+00
1.345662149800956886e+00,1.699478674073719775e+00,6.599999999999999645e+00
1.465476734753584198e+00,1.693142606602777267e+00,6.599999999999999645e+00
1.584695782154527333e+00,1.679633378083785322e+00,6.599999999999999645e+00
1.702890232174264273e+00,1.658999607151196098e+00,6.599999999999999645e+00
1.819634712427413037e+00,1.631315553098568127e+00,6.599999999999999645e+00
1.934509068853971891e+00,1.596680848625300353e+00,6.599999999999999645e+00
2.047099877820223401e+00,1.555220141266503875e+00,6.599999999999999645e+00
2.157001933997371612e+00,1.507082644796479576e+00,6.599999999999999645e+00
2.263819708663157293e+00,1.452441602220261530e+00,6.599999999999999645e+00
2.367168773178137897e+00,1.391493662285879118e+00,6.599999999999999645e+00
2.466677182513655531e+00,1.324458171761219161e+00,6.599999999999999645e+00
2.561986813852289213e+00,1.251576386022528187e+00,6.599999999999999645e+00
2.652754655443270160e+00,1.173110600795581604e+00,6.599999999999999645e+00
2.738654041074377155e+00,1.089343208174316846e+00,6.599999999999999645e+00
2.819375825717542750e+00,1.000575680314242266e+00,6.599999999999999645e+00
2.894629498117117894e+00,9.071274844582273289e-01,6.599999999999999645e+00
2.964144226316678399e+00,8.093349331994122986e-01,6.599999999999999645e+00
3.027669832361603586e+00,7.075499741190467429e-01,6.599999999999999645e+00
3.084977692669554017e+00,6.021389231552545240e-01,6.599999999999999645e+00
3.135861560828483441e+00,4.934811462612307409e-01,6.599999999999999645e+00
3.180138309861003432e+00,3.819676940974759405e-01,6.599999999999999645e+00
3.217648591283747805e+00,2.679998946717025432e-01,6.599999999999999645e+00
3.248257408589837247e+00,1.519879089913891979e-01,6.599999999999999645e+00
3.271854603090526226e+00,3.434925492707470440e-02,6.599999999999999645e+00
3.288355250367524629e+00,-8.449269540111080390e-02,6.599999999999999645e+00
3.297699965909195452e+00,-2.041102393058912834e-01,6.599999999999999645e+00
3.299855118830670619e+00,-3.240728828006554929e-01,6.599999999999999645e+00
3.294812952908718895e+00,-4.439488899129311328e-01,6.599999999999999645e+00
3.282591614495773413e+00,-5.633068364676667716e-01,6.599999999999999645e+00
3.263235087212658758e+00,-6.817171627483797902e-01,6.599999999999999645e+00
3.236813033655053573e+00,-7.987537194482670078e-01,6.599999999999999645e+00
3.203420544683371229e+00,-9.139953013475231591e-01,6.599999999999999645e+00
3.163177797198348795e+00,-1.027027163197284931e+00,6.599999999999999645e+00
3.116229621633980429e+00,-1.137442512354656099e+00,6.599999999999999645e+00
3.062744980724352750e+00,-1.244843972796938258e+00,6.599999999999999645e+00
3.002916361420258973e+00,-1.348845015246198153e+00,6.599999999999999645e+00
2.936959082144038113e+00,-1.449071348257266578e+00,6.599999999999999645e+00
2.865110517875770757e+00,-1.545162265262755019e+00,6.599999999999999645e+00
2.787629245859684524e+00,-1.636771942727181184e+00,6.599999999999999645e+00
2.704794115005304089e+00,-1.723570684738253256e+00,6.599999999999999645e+00
2.616903242332498714e+00,-1.805246109556124301e+00,6.599999999999999645e+00
2.524272940072137761e+00,-1.881504273850324260e+00,6.599999999999999645e+00
2.427236577283636176e+00,-1.952070730578328916e+00,6.599999999999999645e+00
2.326143380086336254e+00,-2.016691516698545961e+00,6.599999999999999645e+00
2.221357174822595759e+00,-2.075134067163017182e+00,6.599999999999999645e+00
2.113255078675841947e+00,-2.127188051900451793e+00,6.599999999999999645e+00
2.002226142455948654e+00,-2.172666132777352210e+00,6.599999999999999645e+00
1.888669950436444367e+00,-2.211404637812995677e+00,6.599999999999999645e+00
